id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors
7475516,2010-01-01 04:56:00,464,3233,104.1,Swipe Transaction,32175,Orlando,FL,32804.0,7538,Technical Glitch
7475611,2010-01-01 06:10:00,1797,1127,28.84,Online Transaction,15143,ONLINE,,,4784,Bad Expiration
7475643,2010-01-01 06:19:00,1797,1127,38.58,Online Transaction,15143,ONLINE,,,4784,Bad Card Number
7475792,2010-01-01 07:02:00,1424,4710,-72.0,Swipe Transaction,59935,Kingman,AZ,86401.0,5499,Insufficient Balance
7475881,2010-01-01 07:22:00,843,184,37.54,Swipe Transaction,89462,Terre Haute,IN,47805.0,5300,Insufficient Balance
7475882,2010-01-01 07:22:00,1424,4710,72.0,Swipe Transaction,59935,Kingman,AZ,86401.0,5499,Insufficient Balance
7475935,2010-01-01 07:37:00,319,248,104.81,Swipe Transaction,9263,Fresno,CA,93727.0,5912,Insufficient Balance
7476004,2010-01-01 07:51:00,1190,5358,90.1,Online Transaction,38958,ONLINE,,,7801,Insufficient Balance
7476174,2010-01-01 08:36:00,1782,4289,2.46,Swipe Transaction,40948,Westminster,CA,92683.0,5411,Insufficient Balance
7476516,2010-01-01 09:58:00,373,2817,1.31,Swipe Transaction,69831,Grabill,IN,46741.0,5812,Bad PIN
7476593,2010-01-01 10:12:00,1153,2021,78.48,Swipe Transaction,22204,Aurora,CO,80013.0,5541,Insufficient Balance
7476617,2010-01-01 10:17:00,1153,2021,78.48,Swipe Transaction,22204,Aurora,CO,80013.0,5541,Insufficient Balance
7476677,2010-01-01 10:32:00,408,2515,16.07,Swipe Transaction,96049,Birchwood,WI,54817.0,5541,Technical Glitch
7476878,2010-01-01 11:14:00,1500,5034,130.85,Online Transaction,726,ONLINE,,,4900,Insufficient Balance
7476898,2010-01-01 11:17:00,1129,5492,23.42,Swipe Transaction,61738,Fresno,CA,93722.0,5094,Bad PIN
7477101,2010-01-01 11:59:00,81,2897,14.43,Swipe Transaction,25887,Seguin,TX,78155.0,5814,Insufficient Balance
7477171,2010-01-01 12:11:00,557,5570,42.85,Swipe Transaction,88937,Canton,NC,28716.0,5813,Insufficient Balance
7477258,2010-01-01 12:26:00,1398,4930,17.27,Swipe Transaction,94992,Parsippany,NJ,7054.0,5812,Technical Glitch
7477536,2010-01-01 13:20:00,178,4214,12.03,Swipe Transaction,41982,Blue Springs,MO,64015.0,5411,Technical Glitch
7477602,2010-01-01 13:33:00,461,5482,9.96,Swipe Transaction,61195,Canton,MI,48188.0,5541,Insufficient Balance
7477632,2010-01-01 13:40:00,779,119,71.28,Swipe Transaction,20561,Pottsboro,TX,75076.0,5912,Insufficient Balance
7477730,2010-01-01 14:07:00,110,4103,86.32,Swipe Transaction,64182,Austin,TX,78728.0,5310,Bad PIN
7477809,2010-01-01 14:24:00,110,4103,115.62,Swipe Transaction,64182,Austin,TX,78728.0,5310,Insufficient Balance
7477999,2010-01-01 15:15:00,476,1070,-83.0,Swipe Transaction,22204,Alburtis,PA,18011.0,5541,Insufficient Balance
7478050,2010-01-01 15:25:00,20,3857,42.67,Swipe Transaction,13646,Venus,TX,76084.0,7538,Insufficient Balance
7478060,2010-01-01 15:30:00,1156,175,89.73,Online Transaction,39021,ONLINE,,,4784,Insufficient Balance
7478118,2010-01-01 15:45:00,1940,3859,19.55,Swipe Transaction,81922,Corona,NY,11368.0,5813,Technical Glitch
7478215,2010-01-01 16:11:00,152,2848,101.62,Swipe Transaction,75781,Russellville,AL,35653.0,5411,Insufficient Balance
7478325,2010-01-01 16:36:00,150,2852,142.63,Swipe Transaction,61195,Lorton,VA,22079.0,5541,Insufficient Balance
7478563,2010-01-01 17:50:00,1840,3322,10.33,Swipe Transaction,75936,Beaverton,OR,97005.0,5814,Technical Glitch
7478594,2010-01-01 18:02:00,655,2133,20.0,Swipe Transaction,27092,Madison,OH,44057.0,4829,Insufficient Balance
7478651,2010-01-01 18:23:00,1945,3381,45.68,Swipe Transaction,25887,Little Rock,AR,72204.0,5814,Insufficient Balance
7478788,2010-01-01 19:11:00,1559,2920,39.11,Swipe Transaction,61195,Acworth,GA,30101.0,5541,Insufficient Balance
7478791,2010-01-01 19:12:00,1559,2920,39.11,Swipe Transaction,61195,Acworth,GA,30101.0,5541,Insufficient Balance
7478866,2010-01-01 19:40:00,28,2568,35.11,Swipe Transaction,98783,Woodbridge,VA,22192.0,7832,Bad PIN
7478907,2010-01-01 19:55:00,1259,5406,150.21,Swipe Transaction,48038,Wilton,CT,6897.0,5812,Technical Glitch
7478969,2010-01-01 20:14:00,369,2443,83.33,Swipe Transaction,75936,Louisville,KY,40299.0,5814,Insufficient Balance
7478994,2010-01-01 20:23:00,550,163,80.0,Swipe Transaction,27092,Rockford,MI,49341.0,4829,Insufficient Balance
7479044,2010-01-01 20:42:00,1168,3239,36.64,Online Transaction,39021,ONLINE,,,4784,Bad CVV
7479048,2010-01-01 20:42:00,1986,5443,110.61,Swipe Transaction,98648,Daly City,CA,94014.0,5814,Insufficient Balance
7479106,2010-01-01 21:03:00,38,2526,29.59,Online Transaction,39021,ONLINE,,,4784,Bad Expiration
7479158,2010-01-01 21:25:00,581,3691,36.86,Swipe Transaction,19756,La Place,LA,70068.0,7832,Insufficient Balance
7479177,2010-01-01 21:31:00,1557,2471,30.38,Swipe Transaction,13646,Boring,OR,97009.0,7538,Bad PIN
7479243,2010-01-01 22:03:00,1417,2975,97.88,Swipe Transaction,59474,Haslett,MI,48840.0,3722,Insufficient Balance
7479333,2010-01-01 22:34:00,1453,1117,42.02,Swipe Transaction,47588,Parrish,AL,35580.0,5812,Insufficient Balance
7479359,2010-01-01 22:44:00,726,3391,26.67,Swipe Transaction,47043,Harbor City,CA,90710.0,5813,Technical Glitch
7479374,2010-01-01 22:49:00,200,2875,100.0,Swipe Transaction,27092,Huntington,WV,25704.0,4829,Technical Glitch
7479394,2010-01-01 22:58:00,1253,3841,120.0,Swipe Transaction,27092,New York,NY,10019.0,4829,Insufficient Balance
7479512,2010-01-02 01:33:00,125,2023,7.24,Swipe Transaction,23462,Modesto,CA,95351.0,5813,Bad PIN
7479535,2010-01-02 02:15:00,1458,117,85.01,Swipe Transaction,20561,New Orleans,LA,70119.0,5912,Insufficient Balance
7479603,2010-01-02 05:01:00,638,3394,37.25,Swipe Transaction,88503,Blair,NE,68008.0,4900,Bad PIN
7479763,2010-01-02 06:44:00,1156,3280,180.0,Swipe Transaction,27092,West New York,NJ,7093.0,4829,Bad PIN
7479779,2010-01-02 06:50:00,364,4623,77.21,Swipe Transaction,83643,Alcoa,TN,37701.0,5300,Insufficient Balance
7479809,2010-01-02 07:00:00,1856,257,76.92,Online Transaction,32480,ONLINE,,,4899,Insufficient Balance
7479882,2010-01-02 07:22:00,1094,138,100.0,Swipe Transaction,27092,Boyne City,MI,49712.0,4829,Insufficient Balance
7479921,2010-01-02 07:30:00,576,5400,22.42,Online Transaction,39021,ONLINE,,,4784,Insufficient Balance
7480157,2010-01-02 08:30:00,468,4705,94.93,Online Transaction,88459,ONLINE,,,5311,Insufficient Balance
7480163,2010-01-02 08:31:00,1107,3698,64.54,Swipe Transaction,81833,Conklin,NY,13748.0,5912,Bad PIN
7480279,2010-01-02 09:10:00,702,4199,160.0,Swipe Transaction,27092,Wantagh,NY,11793.0,4829,Insufficient Balance
7480600,2010-01-02 10:35:00,996,3208,62.05,Swipe Transaction,32175,Hollywood,FL,33024.0,7538,Insufficient Balance
7480603,2010-01-02 10:36:00,96,5175,187.72,Swipe Transaction,81591,Yorba Linda,CA,92886.0,5300,Technical Glitch
7480675,2010-01-02 10:51:00,1104,5766,47.19,Swipe Transaction,60569,Pompano Beach,FL,33063.0,5300,Bad PIN
7480835,2010-01-02 11:32:00,385,2871,13.51,Swipe Transaction,75936,Bluffton,SC,29910.0,5814,Bad PIN
7480919,2010-01-02 11:52:00,359,2489,31.37,Swipe Transaction,59397,Palm Harbor,FL,34683.0,5812,Insufficient Balance
7480921,2010-01-02 11:52:00,712,5506,-53.0,Swipe Transaction,26810,Chula Vista,CA,91910.0,5541,Insufficient Balance
7480983,2010-01-02 12:07:00,211,3739,35.22,Online Transaction,73186,ONLINE,,,4814,Bad CVV
7481048,2010-01-02 12:23:00,1874,5789,32.42,Swipe Transaction,59935,Miami,FL,33175.0,5499,Insufficient Balance
7481066,2010-01-02 12:28:00,1874,5789,32.42,Swipe Transaction,59935,Miami,FL,33175.0,5499,Insufficient Balance
7481075,2010-01-02 12:30:00,858,13,-50.0,Swipe Transaction,22204,Hutto,TX,78634.0,5541,Insufficient Balance
7481113,2010-01-02 12:42:00,489,4233,86.87,Swipe Transaction,61195,York,NE,68467.0,5541,Insufficient Balance
7481137,2010-01-02 12:48:00,628,2579,43.14,Online Transaction,88459,ONLINE,,,5311,Bad Expiration
7481179,2010-01-02 12:56:00,1692,5371,-78.0,Swipe Transaction,22204,Katonah,NY,10536.0,5541,Insufficient Balance
7481190,2010-01-02 13:01:00,123,227,7.99,Swipe Transaction,2085,Griffin,GA,30224.0,5411,Insufficient Balance
7481200,2010-01-02 13:03:00,1569,2392,40.0,Swipe Transaction,27092,Woonsocket,SD,57385.0,4829,Insufficient Balance
7481314,2010-01-02 13:26:00,114,3398,55.26,Swipe Transaction,31893,Baldwin Park,CA,91706.0,5311,Bad PIN
7481326,2010-01-02 13:28:00,1295,2949,71.74,Swipe Transaction,60569,Caledonia,MN,55921.0,5300,Insufficient Balance
7481370,2010-01-02 13:38:00,198,3647,64.54,Swipe Transaction,13646,Tampa,FL,33614.0,7538,Insufficient Balance
7481376,2010-01-02 13:39:00,126,5497,50.63,Swipe Transaction,60569,Jonesboro,AR,72401.0,5300,Insufficient Balance
7481645,2010-01-02 14:43:00,33,2404,123.43,Swipe Transaction,27583,Carson City,NV,89706.0,5411,Insufficient Balance
7481758,2010-01-02 15:09:00,1896,4529,18.5,Swipe Transaction,22204,Monroe,MI,48162.0,5541,Technical Glitch
7481778,2010-01-02 15:15:00,658,199,121.09,Swipe Transaction,54850,Gainesville,FL,32607.0,4814,Insufficient Balance
7481860,2010-01-02 15:36:00,1852,28,64.34,Swipe Transaction,86410,Gilbert,AZ,85234.0,5211,Insufficient Balance
7481935,2010-01-02 15:55:00,1752,3880,74.0,Swipe Transaction,22204,Abbeville,LA,70510.0,5541,Insufficient Balance
7481961,2010-01-02 16:01:00,1776,4938,76.4,Online Transaction,39021,ONLINE,,,4784,Bad CVV
7482000,2010-01-02 16:10:00,1246,5812,17.88,Online Transaction,47399,ONLINE,,,5815,Technical Glitch
7482253,2010-01-02 17:21:00,1341,1008,2.38,Online Transaction,18563,ONLINE,,,4121,Bad Expiration
7482340,2010-01-02 17:58:00,356,3251,100.76,Swipe Transaction,60569,Stuart,FL,34997.0,5300,Insufficient Balance
7482412,2010-01-02 18:28:00,488,5413,106.02,Online Transaction,9932,ONLINE,,,5311,Bad CVV
7482420,2010-01-02 18:31:00,1733,5013,80.0,Swipe Transaction,27092,Barbourville,KY,40906.0,4829,Insufficient Balance
7482502,2010-01-02 19:05:00,1187,91,14.02,Online Transaction,34256,ONLINE,,,7393,Bad Card Number
7482619,2010-01-02 20:04:00,369,2443,85.8,Swipe Transaction,22938,Louisville,KY,40299.0,5812,Insufficient Balance
7482623,2010-01-02 20:06:00,1130,2446,114.03,Swipe Transaction,22204,Federal Way,WA,98003.0,5541,Insufficient Balance
7482663,2010-01-02 20:26:00,1391,5129,28.9,Swipe Transaction,72606,Rego Park,NY,11374.0,5813,Insufficient Balance
7482686,2010-01-02 20:39:00,157,969,62.36,Swipe Transaction,75936,Perris,CA,92571.0,5814,Insufficient Balance
7482755,2010-01-02 21:05:00,231,4221,13.61,Online Transaction,85247,ONLINE,,,5815,Bad Card Number
7482843,2010-01-02 21:52:00,954,5586,18.01,Swipe Transaction,20231,Riverside,CA,92505.0,7349,Bad PIN
7482847,2010-01-02 21:54:00,546,125,129.47,Swipe Transaction,38276,Coventry,RI,2816.0,5411,Insufficient Balance
